ระยะเวลา เริ่มต้นปี มกราคม 2566 สิ้นสุดปี ธันวาคม 2568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ปีฐาน (2566 = 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
มุมมองข้อมูล Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
วันที่ดาวน์โหลดไฟล์ 17 กุมภาพันธ์ 2569 18:29:41น.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
จังหวัด,ม.ค. 2566,ก.พ. 2566,มี.ค. 2566,เม.ย. 2566,พ.ค. 2566,มิ.ย. 2566,ก.ค. 2566,ส.ค. 2566,ก.ย. 2566,ต.ค. 2566,พ.ย. 2566,ธ.ค. 2566,ม.ค. 2567,ก.พ. 2567,มี.ค. 2567,เม.ย. 2567,พ.ค. 2567,มิ.ย. 2567,ก.ค. 2567,ส.ค. 2567,ก.ย. 2567,ต.ค. 2567,พ.ย. 2567,ธ.ค. 2567,ม.ค. 2568,ก.พ. 2568,มี.ค. 2568,เม.ย. 2568,พ.ค. 2568,มิ.ย. 2568,ก.ค. 2568,ส.ค. 2568,ก.ย. 2568,ต.ค. 2568,พ.ย. 2568,ธ.ค. 2568,,,,
สมุทรปราการ,100,99.8,99.7,99.8,99.5,100.4,100.2,100.6,100.3,100.2,100,99.5,99.6,99.9,99.6,100.3,100.5,100.5,100.6,100.7,100.5,100.5,100.6,100.5,100.7,102,101.8,101.5,101.9,102.5,101.6,101.8,101.6,101.5,101.6,101.6,,,,
นนทบุรี,100.2,100.2,99.7,100.1,99.2,99.7,100.1,100.6,100.4,100.2,99.8,99.5,99.6,99.9,99.9,100.5,100.8,100.5,100.6,100.5,100.3,100,99.9,99.9,100.1,100.1,99.7,99.5,99.8,99.7,99.3,99.4,99.6,99,99.4,99.5,,,,
ปทุมธานี,100.8,100.1,100,99.9,99,100.1,100.1,100.6,100.4,99.9,99.9,99.4,99.3,99.8,99.9,100.8,101.2,101.2,101.5,101.7,101.5,101.5,101.4,101.3,101.4,101.3,101.1,100.8,100.9,100.8,100.6,100.7,100.5,100.4,100.4,100.5,,,,
พระนครศรีอยุธยา,100.4,100.2,99.8,100.1,99.2,100,100,100.6,100.3,100.2,100.1,99.5,99.5,99.7,100,101.2,101.6,101,101,101.4,101.6,101.4,101.1,101.1,101.2,101,101,100.8,100.9,100.8,100.4,100.6,100.7,100.4,100.7,100.6,,,,
อ่างทอง,99,99.2,99.9,101.8,101.4,102.1,101.3,101.7,98.9,98.2,98.3,98.3,98.3,98.8,98.9,99.7,100.3,99.7,99.6,99.6,99.5,99.7,100.1,100.8,101.6,101.8,101.9,101.8,102,103.2,102.9,102.8,104.4,104.8,105,105.2,,,,
ลพบุรี,100.9,100.5,100.3,100.4,99.2,99.8,99.8,100.4,100.2,99.9,99.6,99.3,99.3,99.4,99.4,100.4,101.3,100.7,101,100.7,100.6,100.7,100.4,100.3,100.3,100.4,100.1,99.8,99.9,99.8,99.5,99.4,99.2,99,99.1,99.1,,,,
สิงห์บุรี,100.4,100.3,99.9,100.3,99,100.1,100.3,100.7,100.3,99.7,99.6,99.2,99.2,99.6,99.6,100.6,101.3,100.6,100.9,100.7,100.5,100.5,100.4,100.4,100.5,100.5,100.4,99.9,100.2,100.2,99.9,99.8,99.6,99.5,99.7,99.8,,,,
ชัยนาท,99.9,99.9,99.8,100.1,99.5,100.9,100.8,100.7,100.2,100,99.5,98.7,98.8,99.2,99.6,100.5,101,100.7,100.6,100.6,100.3,100.1,100.2,99.9,100,99.9,99.8,99.5,99.7,99.8,99.7,99.8,99.4,99.3,99.3,99.5,,,,
สระบุรี,100.1,100.3,99.8,99.9,99.7,100.3,100.2,100.6,100,99.9,99.6,99.2,99.4,99.4,99.4,100.3,101.1,100.6,100.7,100.6,100.5,100.8,100.6,100.4,100.1,100.4,100.1,99.7,100.2,100.2,100.2,99.9,100.1,100,99.9,100,,,,
ชลบุรี,100,99.7,100.1,100.1,99.3,100.3,100.3,100.7,100.3,100.1,99.8,99.7,99.5,99.8,100,100.7,101,100.8,101.6,101.9,101.7,101.4,101.1,101.3,101.3,101.3,101.2,100.9,101.4,101.6,101.4,101.6,101.7,101.4,101.9,101.8,,,,
