ProvinceThai,Year_AD,Year_BE,Month,Category,Search_Interest
กระบี่,2023,2566,Apr,Foreign_Intent,0.0
กระบี่,2023,2566,Apr,Thai_Intent,74.4
กระบี่,2023,2566,Aug,Foreign_Intent,0.0
กระบี่,2023,2566,Aug,Thai_Intent,27.0
กระบี่,2023,2566,Dec,Foreign_Intent,0.0
กระบี่,2023,2566,Dec,Thai_Intent,35.8
กระบี่,2023,2566,Feb,Foreign_Intent,0.0
กระบี่,2023,2566,Feb,Thai_Intent,47.5
กระบี่,2023,2566,Jan,Foreign_Intent,0.0
กระบี่,2023,2566,Jan,Thai_Intent,48.6
กระบี่,2023,2566,Jul,Foreign_Intent,0.0
กระบี่,2023,2566,Jul,Thai_Intent,32.6
กระบี่,2023,2566,Jun,Foreign_Intent,0.0
กระบี่,2023,2566,Jun,Thai_Intent,34.25
กระบี่,2023,2566,Mar,Foreign_Intent,0.0
กระบี่,2023,2566,Mar,Thai_Intent,71.75
กระบี่,2023,2566,May,Foreign_Intent,0.0
กระบี่,2023,2566,May,Thai_Intent,39.25
กระบี่,2023,2566,Nov,Foreign_Intent,0.0
กระบี่,2023,2566,Nov,Thai_Intent,29.0
กระบี่,2023,2566,Oct,Foreign_Intent,0.0
กระบี่,2023,2566,Oct,Thai_Intent,33.0
กระบี่,2023,2566,Sep,Foreign_Intent,0.0
กระบี่,2023,2566,Sep,Thai_Intent,23.75
กระบี่,2024,2567,Apr,Foreign_Intent,0.0
กระบี่,2024,2567,Apr,Thai_Intent,50.5
กระบี่,2024,2567,Aug,Foreign_Intent,0.0
กระบี่,2024,2567,Aug,Thai_Intent,22.5
กระบี่,2024,2567,Dec,Foreign_Intent,0.0
กระบี่,2024,2567,Dec,Thai_Intent,25.2
กระบี่,2024,2567,Feb,Foreign_Intent,0.0
กระบี่,2024,2567,Feb,Thai_Intent,36.75
กระบี่,2024,2567,Jan,Foreign_Intent,0.0
กระบี่,2024,2567,Jan,Thai_Intent,30.25
กระบี่,2024,2567,Jul,Foreign_Intent,0.0
กระบี่,2024,2567,Jul,Thai_Intent,20.5
กระบี่,2024,2567,Jun,Foreign_Intent,0.0
กระบี่,2024,2567,Jun,Thai_Intent,25.4
กระบี่,2024,2567,Mar,Foreign_Intent,0.0
กระบี่,2024,2567,Mar,Thai_Intent,41.2
กระบี่,2024,2567,May,Foreign_Intent,0.0
กระบี่,2024,2567,May,Thai_Intent,28.75
กระบี่,2024,2567,Nov,Foreign_Intent,0.0
กระบี่,2024,2567,Nov,Thai_Intent,26.0
กระบี่,2024,2567,Oct,Foreign_Intent,0.0
กระบี่,2024,2567,Oct,Thai_Intent,29.0
กระบี่,2024,2567,Sep,Foreign_Intent,0.0
กระบี่,2024,2567,Sep,Thai_Intent,20.0
กระบี่,2025,2568,Apr,Foreign_Intent,0.0
กระบี่,2025,2568,Apr,Thai_Intent,36.25
กระบี่,2025,2568,Aug,Foreign_Intent,0.0
กระบี่,2025,2568,Aug,Thai_Intent,22.6
กระบี่,2025,2568,Dec,Foreign_Intent,0.0
กระบี่,2025,2568,Dec,Thai_Intent,22.75
กระบี่,2025,2568,Feb,Foreign_Intent,0.0
กระบี่,2025,2568,Feb,Thai_Intent,25.5
กระบี่,2025,2568,Jan,Foreign_Intent,0.0
กระบี่,2025,2568,Jan,Thai_Intent,19.75
กระบี่,2025,2568,Jul,Foreign_Intent,0.0
กระบี่,2025,2568,Jul,Thai_Intent,22.5
กระบี่,2025,2568,Jun,Foreign_Intent,0.0
กระบี่,2025,2568,Jun,Thai_Intent,21.2
กระบี่,2025,2568,Mar,Foreign_Intent,0.0
กระบี่,2025,2568,Mar,Thai_Intent,30.6
กระบี่,2025,2568,May,Foreign_Intent,0.0
กระบี่,2025,2568,May,Thai_Intent,22.75
กระบี่,2025,2568,Nov,Foreign_Intent,0.0
กระบี่,2025,2568,Nov,Thai_Intent,22.2
กระบี่,2025,2568,Oct,Foreign_Intent,0.0
กระบี่,2025,2568,Oct,Thai_Intent,23.75
กระบี่,2025,2568,Sep,Foreign_Intent,0.0
กระบี่,2025,2568,Sep,Thai_Intent,18.25
กรุงเทพมหานคร,2023,2566,Apr,Foreign_Intent,0.0
กรุงเทพมหานคร,2023,2566,Apr,Thai_Intent,26.6
กรุงเทพมหานคร,2023,2566,Aug,Foreign_Intent,0.0
กรุงเทพมหานคร,2023,2566,Aug,Thai_Intent,19.75
กรุงเทพมหานคร,2023,2566,Dec,Foreign_Intent,0.0
กรุงเทพมหานคร,2023,2566,Dec,Thai_Intent,21.4
กรุงเทพมหานคร,2023,2566,Feb,Foreign_Intent,0.0
กรุงเทพมหานคร,2023,2566,Feb,Thai_Intent,16.5
กรุงเทพมหานคร,2023,2566,Jan,Foreign_Intent,0.0
กรุงเทพมหานคร,2023,2566,Jan,Thai_Intent,17.2
กรุงเทพมหานคร,2023,2566,Jul,Foreign_Intent,0.0
กรุงเทพมหานคร,2023,2566,Jul,Thai_Intent,24.6
กรุงเทพมหานคร,2023,2566,Jun,Foreign_Intent,17.0
กรุงเทพมหานคร,2023,2566,Jun,Thai_Intent,20.75
กรุงเทพมหานคร,2023,2566,Mar,Foreign_Intent,0.0
กรุงเทพมหานคร,2023,2566,Mar,Thai_Intent,25.0
กรุงเทพมหานคร,2023,2566,May,Foreign_Intent,0.0
กรุงเทพมหานคร,2023,2566,May,Thai_Intent,17.75
กรุงเทพมหานคร,2023,2566,Nov,Foreign_Intent,0.0
กรุงเทพมหานคร,2023,2566,Nov,Thai_Intent,14.75
กรุงเทพมหานคร,2023,2566,Oct,Foreign_Intent,0.0
กรุงเทพมหานคร,2023,2566,Oct,Thai_Intent,20.0
กรุงเทพมหานคร,2023,2566,Sep,Foreign_Intent,18.0
กรุงเทพมหานคร,2023,2566,Sep,Thai_Intent,14.5
กรุงเทพมหานคร,2024,2567,Apr,Foreign_Intent,0.0
กรุงเทพมหานคร,2024,2567,Apr,Thai_Intent,16.75
กรุงเทพมหานคร,2024,2567,Aug,Foreign_Intent,0.0
กรุงเทพมหานคร,2024,2567,Aug,Thai_Intent,14.25
กรุงเทพมหานคร,2024,2567,Dec,Foreign_Intent,0.0
กรุงเทพมหานคร,2024,2567,Dec,Thai_Intent,11.6
กรุงเทพมหานคร,2024,2567,Feb,Foreign_Intent,0.0
กรุงเทพมหานคร,2024,2567,Feb,Thai_Intent,15.25
กรุงเทพมหานคร,2024,2567,Jan,Foreign_Intent,0.0
กรุงเทพมหานคร,2024,2567,Jan,Thai_Intent,13.5
กรุงเทพมหานคร,2024,2567,Jul,Foreign_Intent,0.0
กรุงเทพมหานคร,2024,2567,Jul,Thai_Intent,11.75
กรุงเทพมหานคร,2024,2567,Jun,Foreign_Intent,0.0
กรุงเทพมหานคร,2024,2567,Jun,Thai_Intent,11.4
กรุงเทพมหานคร,2024,2567,Mar,Foreign_Intent,0.0
กรุงเทพมหานคร,2024,2567,Mar,Thai_Intent,13.4
กรุงเทพมหานคร,2024,2567,May,Foreign_Intent,0.0
กรุงเทพมหานคร,2024,2567,May,Thai_Intent,10.5
กรุงเทพมหานคร,2024,2567,Nov,Foreign_Intent,0.0
กรุงเทพมหานคร,2024,2567,Nov,Thai_Intent,8.25
กรุงเทพมหานคร,2024,2567,Oct,Foreign_Intent,0.0
กรุงเทพมหานคร,2024,2567,Oct,Thai_Intent,12.5
กรุงเทพมหานคร,2024,2567,Sep,Foreign_Intent,0.0
กรุงเทพมหานคร,2024,2567,Sep,Thai_Intent,10.6
กรุงเทพมหานคร,2025,2568,Apr,Foreign_Intent,0.0
กรุงเทพมหานคร,2025,2568,Apr,Thai_Intent,11.25
กรุงเทพมหานคร,2025,2568,Aug,Foreign_Intent,0.0
กรุงเทพมหานคร,2025,2568,Aug,Thai_Intent,6.6
กรุงเทพมหานคร,2025,2568,Dec,Foreign_Intent,0.0
กรุงเทพมหานคร,2025,2568,Dec,Thai_Intent,12.0
กรุงเทพมหานคร,2025,2568,Feb,Foreign_Intent,0.0
กรุงเทพมหานคร,2025,2568,Feb,Thai_Intent,8.25
กรุงเทพมหานคร,2025,2568,Jan,Foreign_Intent,0.0
กรุงเทพมหานคร,2025,2568,Jan,Thai_Intent,9.25
กรุงเทพมหานคร,2025,2568,Jul,Foreign_Intent,0.0
กรุงเทพมหานคร,2025,2568,Jul,Thai_Intent,11.5
กรุงเทพมหานคร,2025,2568,Jun,Foreign_Intent,19.2
กรุงเทพมหานคร,2025,2568,Jun,Thai_Intent,7.2
กรุงเทพมหานคร,2025,2568,Mar,Foreign_Intent,0.0
กรุงเทพมหานคร,2025,2568,Mar,Thai_Intent,6.8
กรุงเทพมหานคร,2025,2568,May,Foreign_Intent,0.0
กรุงเทพมหานคร,2025,2568,May,Thai_Intent,5.5
กรุงเทพมหานคร,2025,2568,Nov,Foreign_Intent,0.0
กรุงเทพมหานคร,2025,2568,Nov,Thai_Intent,8.6
กรุงเทพมหานคร,2025,2568,Oct,Foreign_Intent,0.0
กรุงเทพมหานคร,2025,2568,Oct,Thai_Intent,5.25
กรุงเทพมหานคร,2025,2568,Sep,Foreign_Intent,0.0
กรุงเทพมหานคร,2025,2568,Sep,Thai_Intent,7.75
กาญจนบุรี,2023,2566,Apr,Foreign_Intent,0.0
กาญจนบุรี,2023,2566,Apr,Thai_Intent,67.0
กาญจนบุรี,2023,2566,Aug,Foreign_Intent,0.0
กาญจนบุรี,2023,2566,Aug,Thai_Intent,43.75
กาญจนบุรี,2023,2566,Dec,Foreign_Intent,0.0
กาญจนบุรี,2023,2566,Dec,Thai_Intent,71.8
กาญจนบุรี,2023,2566,Feb,Foreign_Intent,0.0
กาญจนบุรี,2023,2566,Feb,Thai_Intent,47.5
กาญจนบุรี,2023,2566,Jan,Foreign_Intent,0.0
กาญจนบุรี,2023,2566,Jan,Thai_Intent,55.0
กาญจนบุรี,2023,2566,Jul,Foreign_Intent,0.0
กาญจนบุรี,2023,2566,Jul,Thai_Intent,60.2
กาญจนบุรี,2023,2566,Jun,Foreign_Intent,0.0
กาญจนบุรี,2023,2566,Jun,Thai_Intent,48.25
กาญจนบุรี,2023,2566,Mar,Foreign_Intent,0.0
กาญจนบุรี,2023,2566,Mar,Thai_Intent,63.5
กาญจนบุรี,2023,2566,May,Foreign_Intent,0.0
กาญจนบุรี,2023,2566,May,Thai_Intent,44.25
กาญจนบุรี,2023,2566,Nov,Foreign_Intent,0.0
กาญจนบุรี,2023,2566,Nov,Thai_Intent,47.75
กาญจนบุรี,2023,2566,Oct,Foreign_Intent,0.0
กาญจนบุรี,2023,2566,Oct,Thai_Intent,48.6
กาญจนบุรี,2023,2566,Sep,Foreign_Intent,0.0
กาญจนบุรี,2023,2566,Sep,Thai_Intent,36.75
กาญจนบุรี,2024,2567,Apr,Foreign_Intent,0.0
กาญจนบุรี,2024,2567,Apr,Thai_Intent,49.0
กาญจนบุรี,2024,2567,Aug,Foreign_Intent,0.0
กาญจนบุรี,2024,2567,Aug,Thai_Intent,31.75
กาญจนบุรี,2024,2567,Dec,Foreign_Intent,0.0
กาญจนบุรี,2024,2567,Dec,Thai_Intent,59.6
กาญจนบุรี,2024,2567,Feb,Foreign_Intent,0.0
กาญจนบุรี,2024,2567,Feb,Thai_Intent,38.5
กาญจนบุรี,2024,2567,Jan,Foreign_Intent,0.0
กาญจนบุรี,2024,2567,Jan,Thai_Intent,39.25
กาญจนบุรี,2024,2567,Jul,Foreign_Intent,0.0
กาญจนบุรี,2024,2567,Jul,Thai_Intent,45.5
กาญจนบุรี,2024,2567,Jun,Foreign_Intent,0.0
กาญจนบุรี,2024,2567,Jun,Thai_Intent,35.2
กาญจนบุรี,2024,2567,Mar,Foreign_Intent,0.0
กาญจนบุรี,2024,2567,Mar,Thai_Intent,36.0
กาญจนบุรี,2024,2567,May,Foreign_Intent,0.0
กาญจนบุรี,2024,2567,May,Thai_Intent,35.5
กาญจนบุรี,2024,2567,Nov,Foreign_Intent,0.0
กาญจนบุรี,2024,2567,Nov,Thai_Intent,36.75
กาญจนบุรี,2024,2567,Oct,Foreign_Intent,0.0
กาญจนบุรี,2024,2567,Oct,Thai_Intent,39.5
กาญจนบุรี,2024,2567,Sep,Foreign_Intent,0.0
กาญจนบุรี,2024,2567,Sep,Thai_Intent,23.2
กาญจนบุรี,2025,2568,Apr,Foreign_Intent,0.0
กาญจนบุรี,2025,2568,Apr,Thai_Intent,38.75
กาญจนบุรี,2025,2568,Aug,Foreign_Intent,0.0
กาญจนบุรี,2025,2568,Aug,Thai_Intent,35.4
กาญจนบุรี,2025,2568,Dec,Foreign_Intent,0.0
กาญจนบุรี,2025,2568,Dec,Thai_Intent,51.5
กาญจนบุรี,2025,2568,Feb,Foreign_Intent,0.0
กาญจนบุรี,2025,2568,Feb,Thai_Intent,24.25
กาญจนบุรี,2025,2568,Jan,Foreign_Intent,0.0
กาญจนบุรี,2025,2568,Jan,Thai_Intent,28.75
กาญจนบุรี,2025,2568,Jul,Foreign_Intent,0.0
กาญจนบุรี,2025,2568,Jul,Thai_Intent,43.75
กาญจนบุรี,2025,2568,Jun,Foreign_Intent,0.0
กาญจนบุรี,2025,2568,Jun,Thai_Intent,29.2
กาญจนบุรี,2025,2568,Mar,Foreign_Intent,20.0
กาญจนบุรี,2025,2568,Mar,Thai_Intent,28.4
