No,ProvinceThai,ProvinceEN,Region_TH,Region_EN,City_type_TH,City_type_EN
1,กรุงเทพมหานคร,Bangkok,กรุงเทพมหานครและปริมณฑล,Bangkok Metropolitan ,เมืองหลัก,Major City
2,นครปฐม,Nakhon Pathom,กรุงเทพมหานครและปริมณฑล,Bangkok Metropolitan ,เมืองหลัก,Major City
3,นนทบุรี,Nonthaburi,กรุงเทพมหานครและปริมณฑล,Bangkok Metropolitan ,เมืองหลัก,Major City
4,ปทุมธานี,Pathum Thani,กรุงเทพมหานครและปริมณฑล,Bangkok Metropolitan ,เมืองหลัก,Major City
5,สมุทรปราการ,Samut Prakan,กรุงเทพมหานครและปริมณฑล,Bangkok Metropolitan ,เมืองหลัก,Major City
6,สมุทรสาคร,Samut Sakhon,กรุงเทพมหานครและปริมณฑล,Bangkok Metropolitan ,เมืองหลัก,Major City
7,อ่างทอง,Ang Thong,ภาคกลาง,Central,เมืองรอง,Secondary City
8,ชัยนาท,Chainat,ภาคกลาง,Central,เมืองรอง,Secondary City
9,ลพบุรี,Lopburi,ภาคกลาง,Central,เมืองรอง,Secondary City
10,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,ภาคกลาง,Central,เมืองหลัก,Major City
11,สระบุรี,Saraburi,ภาคกลาง,Central,เมืองหลัก,Major City
12,สิงห์บุรี,Singburi,ภาคกลาง,Central,เมืองรอง,Secondary City
13,ฉะเชิงเทรา,Chachoengsao,ภาคตะวันออก,Eastern,เมืองหลัก,Major City
14,จันทบุรี,Chanthaburi,ภาคตะวันออก,Eastern,เมืองรอง,Secondary City
15,ชลบุรี,Chonburi,ภาคตะวันออก,Eastern,เมืองหลัก,Major City
16,นครนายก,Nakhon Nayok,ภาคตะวันออก,Eastern,เมืองรอง,Secondary City
17,ปราจีนบุรี,Prachinburi,ภาคตะวันออก,Eastern,เมืองรอง,Secondary City
18,ระยอง,Rayong,ภาคตะวันออก,Eastern,เมืองหลัก,Major City
19,สระแก้ว,Sa Kaeo,ภาคตะวันออก,Eastern,เมืองรอง,Secondary City
20,ตราด,Trat,ภาคตะวันออก,Eastern,เมืองรอง,Secondary City
21,อำนาจเจริญ,Amnat Charoen,ภาคตะวันออกเฉียงเหนือ,Northeastern,เมืองรอง,Secondary City
22,บึงกาฬ,Bueng Kan ,ภาคตะวันออกเฉียงเหนือ,Northeastern,เมืองรอง,Secondary City
23,บุรีรัมย์,Buri Ram,ภาคตะวันออกเฉียงเหนือ,Northeastern,เมืองรอง,Secondary City
24,ชัยภูมิ,Chaiyaphum,ภาคตะวันออกเฉียงเหนือ,Northeastern,เมืองรอง,Secondary City
25,กาฬสินธุ์,Kalasin,ภาคตะวันออกเฉียงเหนือ,Northeastern,เมืองรอง,Secondary City
26,ขอนแก่น,Khon Kaen,ภาคตะวันออกเฉียงเหนือ,Northeastern,เมืองหลัก,Major City
27,เลย,Loei,ภาคตะวันออกเฉียงเหนือ,Northeastern,เมืองรอง,Secondary City
28,มหาสารคาม,Maha Sarakham,ภาคตะวันออกเฉียงเหนือ,Northeastern,เมืองรอง,Secondary City
29,มุกดาหาร,Mukdahan,ภาคตะวันออกเฉียงเหนือ,Northeastern,เมืองรอง,Secondary City
30,นครพนม,Nakhon Phanom,ภาคตะวันออกเฉียงเหนือ,Northeastern,เมืองรอง,Secondary City
