ne year,month,month_year,country,region,is_aggregate,visitors
2023,Jan,Jan-2023,Africa,Africa,True,8100
2023,Jan,Jan-2023,America,America,True,118891
2023,Jan,Jan-2023,Argentina,America,False,2889
2023,Jan,Jan-2023,Asia and the Pacific,Asia and the Pacific,True,1281532
2023,Jan,Jan-2023,Australia,Oceania,False,57315
2023,Jan,Jan-2023,Austria,Europe,False,11680
2023,Jan,Jan-2023,Bahrain,Middle East,False,1339
2023,Jan,Jan-2023,Bangladesh,Asia and the Pacific,False,10724
2023,Jan,Jan-2023,Belarus,Europe,False,1311
2023,Jan,Jan-2023,Belgium,Europe,False,7678
2023,Jan,Jan-2023,Bhutan,Asia and the Pacific,False,3784
2023,Jan,Jan-2023,Brazil,America,False,5186
2023,Jan,Jan-2023,Brunei,Asia and the Pacific,False,748
2023,Jan,Jan-2023,Bulgaria,Europe,False,1915
2023,Jan,Jan-2023,Cambodia,Asia and the Pacific,False,46235
2023,Jan,Jan-2023,Canada,America,False,23744
2023,Jan,Jan-2023,Central/Eastern Europe,Europe,True,284937
2023,Jan,Jan-2023,Chile,America,False,1253
2023,Jan,Jan-2023,China,Asia and the Pacific,False,91841
2023,Jan,Jan-2023,Colombia,America,False,470
2023,Jan,Jan-2023,Croatia,Europe,False,900
2023,Jan,Jan-2023,Cyprus,Europe,False,274
2023,Jan,Jan-2023,Czech Republic,Europe,False,7034
2023,Jan,Jan-2023,Denmark,Europe,False,18539
2023,Jan,Jan-2023,Egypt,Middle East,False,904
2023,Jan,Jan-2023,Estonia,Europe,False,2784
2023,Jan,Jan-2023,Ethiopia,Africa,False,787
2023,Jan,Jan-2023,Europe,Europe,True,705869
2023,Jan,Jan-2023,Finland,Europe,False,14304
2023,Jan,Jan-2023,France,Europe,False,59925
2023,Jan,Jan-2023,Germany,Europe,False,73045
2023,Jan,Jan-2023,Grand Total,Africa,True,2144948
2023,Jan,Jan-2023,Greece,Europe,False,2136
2023,Jan,Jan-2023,Hong Kong (China),Asia and the Pacific,False,59816
2023,Jan,Jan-2023,Hungary,Europe,False,4530
2023,Jan,Jan-2023,Iceland,Europe,False,403
2023,Jan,Jan-2023,India,Asia and the Pacific,False,103316
2023,Jan,Jan-2023,Indonesia,Asia and the Pacific,False,45410
2023,Jan,Jan-2023,Iran,Asia and the Pacific,False,2173
2023,Jan,Jan-2023,Iraq,Middle East,False,329
2023,Jan,Jan-2023,Ireland,Europe,False,5950
2023,Jan,Jan-2023,Israel,Europe,False,24321
2023,Jan,Jan-2023,Italy,Europe,False,21695
2023,Jan,Jan-2023,Japan,Asia and the Pacific,False,46336
2023,Jan,Jan-2023,Jordan,Middle East,False,665
2023,Jan,Jan-2023,Kazakhstan,Europe,False,26656
2023,Jan,Jan-2023,Kenya,Africa,False,198
2023,Jan,Jan-2023,Korea (Republic of),Asia and the Pacific,False,169462
2023,Jan,Jan-2023,Kuwait,Middle East,False,7099
2023,Jan,Jan-2023,Kyrgyzstan,Europe,False,907
2023,Jan,Jan-2023,Laos,Asia and the Pacific,False,85353
2023,Jan,Jan-2023,Latvia,Europe,False,1413
2023,Jan,Jan-2023,Lebanon,Middle East,False,169
2023,Jan,Jan-2023,Lithuania,Europe,False,2658
2023,Jan,Jan-2023,Luxembourg,Europe,False,348
2023,Jan,Jan-2023,Macao (China),Asia and the Pacific,False,853
2023,Jan,Jan-2023,Malaysia,Asia and the Pacific,False,288745
2023,Jan,Jan-2023,Maldives,Asia and the Pacific,False,1452
2023,Jan,Jan-2023,Mauritius,Africa,False,765
2023,Jan,Jan-2023,Mexico,America,False,1616
2023,Jan,Jan-2023,Middle East,Middle East,True,30556
2023,Jan,Jan-2023,Mongolia,Asia and the Pacific,False,5138
2023,Jan,Jan-2023,Morocco,Africa,False,514
2023,Jan,Jan-2023,Myanmar,Asia and the Pacific,False,30764
2023,Jan,Jan-2023,Nepal,Asia and the Pacific,False,1957
2023,Jan,Jan-2023,Netherlands,Europe,False,21012
2023,Jan,Jan-2023,New Zealand,Oceania,False,5558
