year,month,province,occupancy_rate,total_guests,total_visitors,thai_visitors,foreign_visitors,total_revenue,thai_revenue,foreign_revenue
2566,Apr,กระบี่,75.65,303549.0,396348.0,224947.0,171401.0,6981.72,2878.09,4103.63
2566,Apr,กรุงเทพมหานคร,78.79,2625027.0,4679594.0,2789539.0,1890055.0,71888.85,26871.5,45017.35
2566,Apr,กาญจนบุรี,62.83,293182.0,1253110.0,1228457.0,24653.0,3022.9100000000003,2905.13,117.78
2566,Apr,กาฬสินธุ์,57.82,26092.0,80090.0,77783.0,2307.0,136.61,131.62,4.99
2566,Apr,กำแพงเพชร,36.42,31991.0,66314.0,63925.0,2389.0,140.68,135.35,5.33
2566,Apr,ขอนแก่น,58.3,168829.0,334386.0,324234.0,10152.0,1093.59,1056.26,37.33
2566,Apr,จันทบุรี,69.51,131902.0,367409.0,364893.0,2516.0,1679.0600000000002,1662.93,16.13
2566,Apr,ฉะเชิงเทรา,40.38,29494.0,477713.0,475918.0,1795.0,690.24,685.95,4.29
2566,Apr,ชลบุรี,72.02,1291975.0,1964973.0,1152479.0,812494.0,26601.37,7278.19,19323.18
2566,Apr,ชัยนาท,44.12,18856.0,82827.0,82120.0,707.0,130.33,129.24,1.09
2566,Apr,ชัยภูมิ,53.5,60349.0,130769.0,130258.0,511.0,176.24,174.87,1.37
2566,Apr,ชุมพร,61.64,97081.0,137044.0,135839.0,1205.0,470.34,466.39,3.95
2566,Apr,ตรัง,69.95,92811.0,159094.0,153626.0,5468.0,804.6899999999999,756.14,48.55
2566,Apr,ตราด,62.18,156047.0,188254.0,168322.0,19932.0,1470.99,1159.33,311.66
2566,Apr,ตาก,57.08,128855.0,189228.0,185263.0,3965.0,608.4699999999999,593.29,15.18
2566,Apr,นครนายก,57.24,94764.0,151271.0,150406.0,865.0,423.01,419.84,3.17
2566,Apr,นครปฐม,46.41,71470.0,285788.0,279388.0,6400.0,438.7,423.56,15.14
2566,Apr,นครพนม,74.52,65350.0,179917.0,168026.0,11891.0,323.97,300.7,23.27
2566,Apr,นครราชสีมา,64.9,385795.0,646312.0,634471.0,11841.0,1569.22,1524.15,45.07
2566,Apr,นครศรีธรรมราช,70.9,187667.0,339348.0,335446.0,3902.0,1104.61,1086.1,18.51
2566,Apr,นครสวรรค์,55.18,90894.0,230353.0,229385.0,968.0,592.5,590.09,2.41
2566,Apr,นนทบุรี,50.98,80948.0,277394.0,258984.0,18410.0,496.49,453.91,42.58
2566,Apr,นราธิวาส,51.6,34437.0,70797.0,20632.0,50165.0,232.2,59.84,172.36
2566,Apr,น่าน,74.36,95223.0,137620.0,136105.0,1515.0,426.49,419.12,7.37
2566,Apr,บึงกาฬ,53.87,33697.0,72728.0,69420.0,3308.0,135.89,128.68,7.21
2566,Apr,บุรีรัมย์,74.48,141272.0,288768.0,284799.0,3969.0,587.7,576.59,11.11
2566,Apr,ปทุมธานี,42.8,57455.0,232202.0,209379.0,22823.0,371.61,318.31,53.3
2566,Apr,ประจวบศิรีขันธ์,79.64,531349.0,1020590.0,977438.0,43152.0,4115.3,3650.88,464.42
2566,Apr,ปราจีนบุรี,44.45,62858.0,110457.0,110083.0,374.0,320.5,318.9,1.6
2566,Apr,ปัตตานี,40.31,16454.0,26569.0,20392.0,6177.0,82.55,70.06,12.49
2566,Apr,พระนครศรีอยุธยา,56.44,81550.0,833911.0,716686.0,117225.0,1906.34,1594.91,311.43
2566,Apr,พะเยา,64.52,42473.0,81782.0,78850.0,2932.0,182.7,174.84,7.86
2566,Apr,พังงา,68.29,115255.0,298770.0,144080.0,154690.0,3807.72,1242.6,2565.12
2566,Apr,พัทลุง,61.93,44352.0,77765.0,75820.0,1945.0,176.48999999999998,170.98,5.51
2566,Apr,พิจิตร,50.49,29536.0,65393.0,65263.0,130.0,116.07,115.82,0.25
2566,Apr,พิษณุโลก,43.83,120290.0,256903.0,246844.0,10059.0,650.4499999999999,619.64,30.81
2566,Apr,ภูเก็ต,83.62,946459.0,1057691.0,258774.0,798917.0,40097.87,2662.25,37435.62
2566,Apr,มหาสารคาม,52.91,31651.0,77084.0,76155.0,929.0,136.04000000000002,132.99,3.05
2566,Apr,มุกดาหาร,43.26,35070.0,136801.0,125923.0,10878.0,236.35,209.7,26.65
2566,Apr,ยะลา,78.48,96747.0,160911.0,92014.0,68897.0,605.36,258.48,346.88
2566,Apr,ยโสธร,41.2,11386.0,44064.0,43839.0,225.0,70.7,70.12,0.58
2566,Apr,ระนอง,56.57,48996.0,90822.0,88485.0,2337.0,286.63,276.68,9.95
2566,Apr,ระยอง,71.59,288841.0,451505.0,392795.0,58710.0,2072.58,1547.66,524.92
2566,Apr,ราชบุรี,54.41,84332.0,204686.0,195234.0,9452.0,381.66,359.73,21.93
2566,Apr,ร้อยเอ็ด,47.4,35054.0,72169.0,70945.0,1224.0,116.82,113.95,2.87
2566,Apr,ลพบุรี,53.49,65989.0,344971.0,343403.0,1568.0,583.73,579.96,3.77
2566,Apr,ลำปาง,49.31,56061.0,123918.0,118948.0,4970.0,383.17,360.25,22.92
2566,Apr,ลำพูน,43.72,22903.0,99431.0,93056.0,6375.0,143.87,130.41,13.46
2566,Apr,ศรีษะเกษ,47.75,28506.0,73835.0,73406.0,429.0,105.86,104.79,1.07
2566,Apr,สกลนคร,42.56,49008.0,123921.0,123053.0,868.0,211.7,208.84,2.86
2566,Apr,สงขลา,70.91,296956.0,468551.0,234848.0,233703.0,3634.63,1626.13,2008.5
2566,Apr,สตูล,72.94,102212.0,208933.0,186678.0,22255.0,1070.34,953.86,116.48
2566,Apr,สมุทรปราการ,50.73,101892.0,311817.0,236219.0,75598.0,611.66,396.12,215.54
2566,Apr,สมุทรสงคราม,54.89,60309.0,556306.0,540395.0,15911.0,684.63,656.57,28.06
2566,Apr,สมุทรสาคร,38.92,25623.0,95740.0,94325.0,1415.0,173.69,170.49,3.2
2566,Apr,สระบุรี,60.95,88103.0,353408.0,349637.0,3771.0,619.7099999999999,612.56,7.15
2566,Apr,สระแก้ว,44.38,40115.0,112397.0,101819.0,10578.0,363.11,335.71,27.4
2566,Apr,สิงห์บุรี,45.29,15037.0,66000.0,65493.0,507.0,91.36,90.52,0.84
2566,Apr,สุพรรณบุรี,58.1,82936.0,458817.0,455236.0,3581.0,822.25,811.69,10.56
2566,Apr,สุราษฎร์ธานี,77.6,470232.0,636650.0,318675.0,317975.0,9442.01,2598.5,6843.51
2566,Apr,สุรินทร์,49.62,62777.0,92315.0,89376.0,2939.0,190.48,180.46,10.02
2566,Apr,สุโขทัย,29.58,44072.0,107551.0,91388.0,16163.0,240.55,192.31,48.24
2566,Apr,หนองคาย,69.37,93217.0,289528.0,204602.0,84926.0,681.71,496.15,185.56
2566,Apr,หนองบัวลำภู,31.74,7854.0,21564.0,21291.0,273.0,25.9,25.45,0.45
2566,Apr,อำนาจเจริญ,34.08,5846.0,20406.0,19810.0,596.0,27.84,26.82,1.02
2566,Apr,อุดรธานี,65.66,159072.0,387493.0,299127.0,88366.0,1016.81,749.17,267.64
2566,Apr,อุตรดิตถ์,45.86,46147.0,79877.0,79354.0,523.0,167.08,166.24,0.84
2566,Apr,อุทัยธานี,47.29,29462.0,80116.0,80020.0,96.0,134.9,134.75,0.15
2566,Apr,อุบลราชธานี,50.27,88444.0,240997.0,238407.0,2590.0,640.3199999999999,632.67,7.65
2566,Apr,อ่างทอง,51.93,13360.0,95494.0,94672.0,822.0,126.63,125.48,1.15
2566,Apr,เชียงราย,66.72,359688.0,494575.0,434177.0,60398.0,3598.65,2944.29,654.36
2566,Apr,เชียงใหม่,67.3,581407.0,837844.0,634855.0,202989.0,7213.290000000001,4982.93,2230.36
2566,Apr,เพชรบุรี,73.05,360478.0,978559.0,965410.0,13149.0,2834.55,2697.78,136.77
2566,Apr,เพชรบูรณ์,38.29,150446.0,197549.0,193032.0,4517.0,678.46,664.0,14.46
2566,Apr,เลย,55.46,106793.0,176467.0,173852.0,2615.0,389.5100000000001,379.91,9.6
2566,Apr,แพร่,67.54,49603.0,105864.0,104788.0,1076.0,248.32,245.48,2.84
2566,Apr,แม่ฮ่องสอน,44.92,80023.0,92299.0,74004.0,18295.0,454.01,334.39,119.62
2566,Aug,กระบี่,63.81,260214.0,358309.0,181039.0,177270.0,6233.360000000001,2233.01,4000.35
2566,Aug,กรุงเทพมหานคร,77.84,2795329.0,4901802.0,2666551.0,2235251.0,77688.97,23941.35,53747.62
2566,Aug,กาญจนบุรี,68.27,290627.0,1247534.0,1219257.0,28277.0,2930.38,2816.07,114.31
2566,Aug,กาฬสินธุ์,49.2,23693.0,64111.0,62415.0,1696.0,99.31,94.89,4.42
2566,Aug,กำแพงเพชร,32.84,29202.0,62701.0,60954.0,1747.0,131.92000000000002,128.15,3.77
2566,Aug,ขอนแก่น,53.81,171670.0,311011.0,304355.0,6656.0,1059.91,1040.44,19.47
2566,Aug,จันทบุรี,54.0,99997.0,354583.0,353029.0,1554.0,1290.09,1282.78,7.31
2566,Aug,ฉะเชิงเทรา,40.34,30097.0,469081.0,467627.0,1454.0,619.55,615.88,3.67
2566,Aug,ชลบุรี,80.52,1364628.0,2269565.0,1302498.0,967067.0,25372.71,7579.15,17793.56
2566,Aug,ชัยนาท,48.59,20116.0,94271.0,93732.0,539.0,154.43,153.52,0.91
2566,Aug,ชัยภูมิ,69.34,77912.0,125163.0,124629.0,534.0,203.95,202.5,1.45
2566,Aug,ชุมพร,54.71,90954.0,132035.0,129982.0,2053.0,495.29,485.88,9.41
